CGATS.17
FORMAT_VERSION	2
CREATED	2017-10-17 15:05:08 UTC+9
PRODUCT	MOBILE PHONE
DISPLAY_TYPE	RGBW LCD
INSTRUMENT	Konica-Minolta	CA-410		
SYNC_MODE	INT	60 Hz
MEASUREMENT_SPEED	FAST
AVERAGING_TIMES	5
AMBIENT_TEMPERATURE	24
KEYWORD	SampleID
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT
NUMBER_OF_SETS	602
BEGIN_DATA
1	0	0	0	0.0159021433470667	0.0158694613959333	0.00951903233833333
2	0	0	25	0.123750026930917	0.0488583501834833	0.630103983936083
3	0	0	51	0.479585273610766	0.154037630502383	2.63459211754723
4	0	0	76	1.11694311972632	0.357934307515434	6.21888809202708
5	0	0	102	2.09407812413332	0.638756794525433	11.7769449586371
6	0	0	127	3.29666250833982	0.990467288103734	18.6195565054321
7	0	0	153	4.99855145140882	1.50264695265543	28.1760971329871
8	0	0	178	6.93229865881082	2.08232885386643	39.1327230186871
9	0	0	204	9.14660140094382	2.72820776246043	51.7807640527471
10	0	0	229	12.5427870603638	3.76668674976543	70.7204168912971
11	0	0	255	15.9630079054688	4.74513261720543	89.9601874588471
12	0	25	0	0.226707692466367	0.662497602115383	0.0592070516319833
13	0	25	25	0.334555576050217	0.695486490902933	0.679792003229733
14	0	25	51	0.690390822730067	0.800665771221833	2.68428013684088
15	0	25	76	1.32774866884562	1.00456244823488	6.26857611132073
16	0	25	102	2.30488367325262	1.28538493524488	11.8266329779307
17	0	25	127	3.50746805745912	1.63709542882318	18.6692445247257
18	0	25	153	5.20935700052812	2.14927509337488	28.2257851522807
19	0	25	178	7.14310420793012	2.72895699458588	39.1824110379807
20	0	25	204	9.35740695006312	3.37483590317988	51.8304520720407
21	0	25	229	12.7535926094831	4.41331489048488	70.7701049105907
22	0	25	255	16.1738134545881	5.39176075792488	90.0098754781408
23	0	51	0	0.731859455237722	2.17908881460375	0.183802457335526
24	0	51	25	0.839707338821572	2.21207770339130	0.804387408933276
25	0	51	51	1.19554258550142	2.31725698371020	2.80887554254443
26	0	51	76	1.83290043161697	2.52115366072325	6.39317151702428
27	0	51	102	2.81003543602397	2.80197614773325	11.9512283836343
28	0	51	127	4.01261982023047	3.15368664131155	18.7938399304293
29	0	51	153	5.71450876329948	3.66586630586325	28.3503805579843
30	0	51	178	7.64825597070147	4.24554820707425	39.3070064436843
31	0	51	204	9.86255871283447	4.89142711566824	51.9550474777443
32	0	51	229	13.2587443722545	5.92990610297325	70.8947003162943
33	0	51	255	16.6789652173595	6.90835197041324	90.1344708838443
34	0	76	0	1.57988551309987	4.72717088361643	0.391247698463333
35	0	76	25	1.68773339668372	4.76015977240399	1.01183265006108
36	0	76	51	2.04356864336357	4.86533905272289	3.01632078367223
37	0	76	76	2.68092648947912	5.06923572973594	6.60061675815208
38	0	76	102	3.65806149388612	5.35005821674593	12.1586736247621
